customerId,email,name,phone,target
a2b12490-e469-4590-973d-5fb3b2a49c38,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
fb94800f-172f-48f3-b734-55fcdf451e3f,juhani.virtanen@qoco.aero,Juhani Virtanen,+864 5626078,HND
37cb5035-6e81-4a90-aa28-6f56a8d5f85b,elias.hämäläinen@qoco.aero,Elias Hämäläinen,+291 1565751,LHR
42f8dde7-73c7-440a-8761-89351f93f801,helmi.hämäläinen@qoco.aero,Helmi Hämäläinen,+602 5076164,PVG
58cc6402-95ac-4a08-bd98-71fe45a2ca46,ilmari.mäkelä@qoco.aero,Ilmari Mäkelä,+561 7496442,LHR
d3491a80-9973-4a3a-954c-89dfe686af02,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
4203f4a9-1fe9-4a70-858f-a054f809690f,matilda.koskinen@qoco.aero,Matilda Koskinen,+644 9097750,HND
9a55a8c6-5da0-4ac1-8527-dad2776c6db6,elias.nieminen@qoco.aero,Elias Nieminen,+654 9690238,PVG
f7c6c6fb-4045-4d03-a5c9-7db6941a287e,ilmari.virtanen@qoco.aero,Ilmari Virtanen,+963 5360774,PEK
019e9d60-ac50-4e33-b6dd-391248119707,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
6f87d140-bf0e-4776-a829-60c0fec8c8fd,matilda.järvinen@qoco.aero,Matilda Järvinen,+161 2470487,ORD
772eb51c-cd33-4469-b9e1-39beaf895bf8,johannes.heikkinen@qoco.aero,Johannes Heikkinen,+943 4459849,LAX
57626176-dcb8-461b-9064-afb9f5e90f97,elias.heikkinen@qoco.aero,Elias Heikkinen,+367 4154398,PVG
b2454709-913e-4a35-9cc1-397010209bc0,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
68aba14b-ead7-4c42-989e-cba5f4ee5d44,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
a14463fa-9a7c-4e79-b37b-6d48b43bcec7,onni.koskinen@qoco.aero,Onni Koskinen,+722 9719009,PVG
a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
617f3bed-f987-4cdf-ac70-00bc77f80da9,mikael.nieminen@qoco.aero,Mikael Nieminen,+939 6093778,LAX
4888ed61-da7a-4fb5-92e6-9c71d8cf63ba,amanda.järvinen@qoco.aero,Amanda Järvinen,+741 7528261,ATL
72a12e94-fbce-437f-a774-df9aa9ce3639,ilona.nieminen@qoco.aero,Ilona Nieminen,+314 5718648,PVG
b93a3e26-c70e-45e1-acfa-538fe9d546c2,juhani.hämäläinen@qoco.aero,Juhani Hämäläinen,+284 6027122,LAX
08fd9b1e-95fe-4ef5-bed9-ec4181a32996,matilda.koskinen@qoco.aero,Matilda Koskinen,+451 1453787,LAX
6ffe7f32-c459-4d5e-8890-f90840cba8d9,emilia.korhonen@qoco.aero,Emilia Korhonen,+810 1360089,ATL
15cb8568-e3a6-47aa-97a8-571533e981f3,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
4aa5d121-8b96-4bc5-b1bf-09d98b918f75,juhani.virtanen@qoco.aero,Juhani Virtanen,+572 7064908,CDG
7a408acc-7951-4f26-b1b2-c44913a18781,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
44cf8126-5b10-4ef5-8775-d346dd268df5,maria.virtanen@qoco.aero,Maria Virtanen,+912 6977805,HND
eac7a4d0-0553-4ffa-b0e2-aa62d58c53e9,johannes.hämäläinen@qoco.aero,Johannes Hämäläinen,+843 6863743,ORD
3cbe7e66-77cc-4fcf-86dc-5ff5f1e2ad96,olavi.järvinen@qoco.aero,Olavi Järvinen,+886 1850968,ORD
b2a09846-340e-4d7f-849b-0d640bd5a6a0,mikael.laine@qoco.aero,Mikael Laine,+651 2069021,ORD
