baggageId,customerId,rushbag,special,weight,email,name,phone,target
4202cdca-9176-4b6c-aced-745f90741712,9a55a8c6-5da0-4ac1-8527-dad2776c6db6,N,N,15.3,elias.nieminen@qoco.aero,Elias Nieminen,+654 9690238,PVG
90cda708-b57d-4195-b30d-627e9f99ea36,72a12e94-fbce-437f-a774-df9aa9ce3639,N,H,39.1,ilona.nieminen@qoco.aero,Ilona Nieminen,+314 5718648,PVG
e4bd8e79-59c2-42c1-be9a-34c9d5c61f18,d3491a80-9973-4a3a-954c-89dfe686af02,N,N,8.4,johannes.mäkinen@qoco.aero,Johannes Mäkinen,+174 9635748,PVG
267c8126-b658-426a-99e8-44b553828790,4aa5d121-8b96-4bc5-b1bf-09d98b918f75,N,N,16.2,juhani.virtanen@qoco.aero,Juhani Virtanen,+572 7064908,CDG
efd334e2-576a-4d92-9cb9-755ec7de04d7,b2454709-913e-4a35-9cc1-397010209bc0,N,CH,42.9,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
0c300901-bdb4-4965-8514-31b66e7c86ac,b2454709-913e-4a35-9cc1-397010209bc0,Y,LCT,9.6,olavi.hämäläinen@qoco.aero,Olavi Hämäläinen,+356 1377909,ORD
9d51fd62-1b0d-45b6-b68a-4b121bd27dff,019e9d60-ac50-4e33-b6dd-391248119707,N,H,43.2,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
d37fb53e-d06e-4912-9290-ae7541b5312c,019e9d60-ac50-4e33-b6dd-391248119707,N,A,5.0,ilmari.mäkinen@qoco.aero,Ilmari Mäkinen,+115 3893341,LHR
fe1f5ee8-5684-4bc8-a473-fed319639769,08fd9b1e-95fe-4ef5-bed9-ec4181a32996,Y,TH,40.0,matilda.koskinen@qoco.aero,Matilda Koskinen,+451 1453787,LAX
f04af1b4-ba3e-43cb-bad9-d1006988f7e8,b93a3e26-c70e-45e1-acfa-538fe9d546c2,N,CH,44.4,juhani.hämäläinen@qoco.aero,Juhani Hämäläinen,+284 6027122,LAX
a61905ba-b22b-48aa-9a73-1dd2ef0df980,fb94800f-172f-48f3-b734-55fcdf451e3f,N,N,12.1,juhani.virtanen@qoco.aero,Juhani Virtanen,+864 5626078,HND
5b1c521f-e004-416a-bf4f-2d4ff704e30d,58cc6402-95ac-4a08-bd98-71fe45a2ca46,N,N,5.0,ilmari.mäkelä@qoco.aero,Ilmari Mäkelä,+561 7496442,LHR
f151cd0a-f56e-4fec-843e-4c577d45c48f,68aba14b-ead7-4c42-989e-cba5f4ee5d44,Y,A,19.1,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
d2b2a0d5-bb6e-4422-87b8-28a329fa5455,68aba14b-ead7-4c42-989e-cba5f4ee5d44,N,A,6.7,matilda.korhonen@qoco.aero,Matilda Korhonen,+105 1993366,PEK
0c0387a4-a606-47b9-841a-4aeb1cd83688,a2b12490-e469-4590-973d-5fb3b2a49c38,Y,N,6.5,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
5af7a198-d7d0-4025-8387-a4825828b85a,a2b12490-e469-4590-973d-5fb3b2a49c38,N,W,15.3,amanda.virtanen@qoco.aero,Amanda Virtanen,+450 8272902,ATL
bf491d4b-fdd5-447e-91bb-7c6e8167147e,7a408acc-7951-4f26-b1b2-c44913a18781,N,N,11.8,olivia.koskinen@qoco.aero,Olivia Koskinen,+334 6311630,ATL
7453e7be-7471-4d9a-9e20-f91ffdbbd19c,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,H,24.3,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
1ccc4c2b-e9de-441d-a670-4062d39b118a,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,C,9.4,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
0f4d351d-1be5-454e-bca5-25e4f034ca73,a3482c73-ac30-4cdb-aaa1-f5a94e77c62c,N,N,8.2,oliver.heikkinen@qoco.aero,Oliver Heikkinen,+750 1528125,ORD
e7d2cb0e-5df7-428d-8d18-4cc298cfb423,6f87d140-bf0e-4776-a829-60c0fec8c8fd,N,LW,20.0,matilda.järvinen@qoco.aero,Matilda Järvinen,+161 2470487,ORD
8a17feb4-4c56-47c5-86f7-621157067688,15cb8568-e3a6-47aa-97a8-571533e981f3,N,L,13.2,matilda.virtanen@qoco.aero,Matilda Virtanen,+205 2183017,PEK
01d5e96a-684c-48bd-afd9-9df0ebcb6c62,57626176-dcb8-461b-9064-afb9f5e90f97,N,H,40.1,elias.heikkinen@qoco.aero,Elias Heikkinen,+367 4154398,PVG
caf39270-78ca-4881-b7d0-ce44165c837c,617f3bed-f987-4cdf-ac70-00bc77f80da9,N,H,38.8,mikael.nieminen@qoco.aero,Mikael Nieminen,+939 6093778,LAX
78696b39-e03b-49b0-be09-bdb8f89af67d,772eb51c-cd33-4469-b9e1-39beaf895bf8,Y,N,5.0,johannes.heikkinen@qoco.aero,Johannes Heikkinen,+943 4459849,LAX
